,treatment,environment,position,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
0,B-,"#_{a,O}",1,BR POR,+,b,b,2,−,P,B,3,−,4,+,1.0
1,B-,"#_{a,O}",1,AMR ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
2,B-,"#_{a,O}",1,LAT,+,B,b,2,−,P,B,3,−,4,+,1.0
3,B-,"#_{a,O}",1,CAT,+,b,b,2,−,P,B,3,−,4,+,1.0
4,B-,"#_{a,O}",1,VAL,+,b,b,2,−,P,B,3,−,4,+,1.0
5,B-,"#_{a,O}",1,BAL,+,b,b,2,−,P,B,3,−,4,+,1.0
6,B-,"#_{a,O}",1,OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
7,B-,"#_{a,O}",1,GAS OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
8,B-,"#_{a,O}",1,EU FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
9,B-,"#_{a,O}",1,QBC FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
10,B-,"#_{a,O}",1,WAL,+,b,b,2,−,P,B,3,−,4,+,1.0
11,B-,"#_{a,O}",1,ARP,+,b,b,2,−,P,B,3,−,4,+,1.0
12,B-,"#_{a,O}",1,LIG,+,b,b,2,−,P,B,3,−,4,+,1.0
13,B-,"#_{a,O}",1,EU POR,+,b,b,2,−,P,B,3,−,4,+,1.0
14,B-,"#_{a,O}",1,LMO,+,b,b,2,−,P,B,3,−,4,+,1.0
15,B-,"#_{a,O}",1,RMH,+,b,b,2,−,P,B,3,−,4,+,1.0
16,B-,"#_{a,O}",1,FUR,+,b,b,2,−,P,B,3,−,4,+,1.0
17,B-,"#_{a,O}",1,LOG SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
18,B-,"#_{a,O}",1,CPN SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
19,B-,"#_{a,O}",1,COR,+,b,b,2,−,P,B,3,−,4,+,1.0
20,B-,"#_{a,O}",1,ITA,+,b,b,2,−,P,B,3,−,4,+,1.0
21,B-,"#_{a,O}",1,ABR,,v?,,,,,,,,,,1.0
22,B-,"#_{a,O}",1,CAM,,v?,,,,,,,,,,1.0
23,B-,"#_{a,O}",1,PGL,,v?,,,,,,,,,,1.0
24,B-,"#_{a,O}",1,SCN,,v?,,,,,,,,,,1.0
25,B-,"#_{a,O}",1,VEN,+,b,b,2,−,P,B,3,−,4,+,1.0
26,B-,"#_{a,O}",1,ARO,+,b,b,2,−,P,B,3,−,4,+,1.0
27,B-,"#_{a,O}",1,ROM,+,b,b,2,−,P,B,3,−,4,+,1.0
28,B-,"#_{a,O}",1,GAL,+,b,b,2,−,P,B,3,−,4,+,1.0
29,B-,"#_{a,O}",1,ASL,+,b,b,2,−,P,B,3,−,4,+,1.0
30,B-,"#_{a,O}",1,CAS ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
31,B-,"#_{a,O}",1,AND ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
32,B-,"#_{a,O}",1,ARG,+,b,b,2,−,P,B,3,−,4,+,1.0
0,B-,#_E,1,BR POR,+,b,b,2,−,P,B,3,−,4,+,1.0
1,B-,#_E,1,AMR ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
2,B-,#_E,1,LAT,+,B,b,2,−,P,B,3,−,4,+,1.0
3,B-,#_E,1,CAT,+,b,b,2,−,P,B,3,−,4,+,1.0
4,B-,#_E,1,VAL,+,b,b,2,−,P,B,3,−,4,+,1.0
5,B-,#_E,1,BAL,+,b,b,2,−,P,B,3,−,4,+,1.0
6,B-,#_E,1,OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
7,B-,#_E,1,GAS OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
8,B-,#_E,1,EU FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
9,B-,#_E,1,QBC FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
10,B-,#_E,1,WAL,+,b,b,2,−,P,B,3,−,4,+,1.0
11,B-,#_E,1,ARP,+,b,b,2,−,P,B,3,−,4,+,1.0
12,B-,#_E,1,LIG,+,b,b,2,−,P,B,3,−,4,+,1.0
13,B-,#_E,1,EU POR,+,b,b,2,−,P,B,3,−,4,+,1.0
14,B-,#_E,1,LMO,+,b,b,2,−,P,B,3,−,4,+,1.0
15,B-,#_E,1,RMH,+,b,b,2,−,P,B,3,−,4,+,1.0
16,B-,#_E,1,FUR,+,b,b,2,−,P,B,3,−,4,+,1.0
17,B-,#_E,1,LOG SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
18,B-,#_E,1,CPN SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
19,B-,#_E,1,COR,+,b,b,2,−,P,B,3,−,4,+,1.0
20,B-,#_E,1,ITA,+,b,b,2,−,P,B,3,−,4,+,1.0
21,B-,#_E,1,ABR,,v?,,,,,,,,,,1.0
22,B-,#_E,1,CAM,,v?,,,,,,,,,,1.0
23,B-,#_E,1,PGL,,v?,,,,,,,,,,1.0
24,B-,#_E,1,SCN,,v?,,,,,,,,,,1.0
25,B-,#_E,1,VEN,+,b,b,2,−,P,B,3,−,4,+,1.0
26,B-,#_E,1,ARO,+,b,b,2,−,P,B,3,−,4,+,1.0
27,B-,#_E,1,ROM,+,b,b,2,−,P,B,3,−,4,+,1.0
28,B-,#_E,1,GAL,+,b,b,2,−,P,B,3,−,4,+,1.0
29,B-,#_E,1,ASL,+,b,b,2,−,P,B,3,−,4,+,1.0
30,B-,#_E,1,CAS ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
31,B-,#_E,1,AND ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
32,B-,#_E,1,ARG,+,b,b,2,−,P,B,3,−,4,+,1.0
0,T-,#_E,1,BR POR,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
1,T-,#_E,1,AMR ESP,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
2,T-,#_E,1,LAT,+,T,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
3,T-,#_E,1,CAT,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
4,T-,#_E,1,VAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
5,T-,#_E,1,BAL,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
6,T-,#_E,1,OCC,+,t,t̪,5,−,P,D,1.6666666666666667,−,4,−,1.0
