,IPA_key,IPA,consonantal,voice,sibilant,lateral,place_articulation,place_value,articulation_manner,sonority_value
994,1,p,+,−,−,−,B,3.0,P,4.0
159,101,d̪~ɾ,+,+,−,−,D,1.2083333333333337,P~L,2.4375
232,102,θ (s),+,−,+/−,−,D,1.6666666666666667,F,2.0
222,103,ʃ~s̠,+,−,+,−,Ɉ~D,0.0,F,2.0
229,104,s̠~θ,+,−,+/−,−,D,1.25,F,2.0
243,105,k (t͡s),+,−,−/+,−,K (Ɉ),2.333333333333333,P (P͡F),3.6666666666666665
248,106,t̠͡ʃ~θ,+,−,+ (−),−,Ɉ~D,0.75,P͡F~F,2.5
348,107,d͡z~ð,+,+,+/−,−,D,1.5,P͡F~F,2.5
351,108,d̠͡ʒ~z,+,+,+,−,Ɉ~D,0.25,P͡F~F,2.5
358,109,z̠~ð,+,−,+/−,−,D,1.25,F,2.0
401,110,ɡ (d͡z),+,+,−/+,−,K (Ɉ),2.333333333333333,P (P͡F),3.6666666666666665
349,111,z (d͡z),+,+,+,−,D,1.0,F (P͡F),2.333333333333333
417,112,ɡ~j,+,+,−,−,K~Ɉ,-2.5,P~W,2.1666666666666665
486,113,n~ɲ,+,+,−,−,D~Ɉ,-0.625,N,1.5
557,114,ɸ~f,+,−,−,−,B,2.75,F,2.0
585,115,f (h),+,−,−,−,B (H),-0.1666666666666666,F,2.0
620,116,h~∅,−,−,−,−,H,-6.0,F~∅,1.0
21,117,b~v,+,+,−,−,B,2.75,P~F,3.0
691,118,s (s̠),+,−,+,−,D,0.875,F,2.0
1358,119,z (z̠),+,+,+,−,D,0.875,F,2.0
221,120,s (s̪),+,−,+,−,D,1.0833333333333333,F,2.0
1137,121,z (z̪),+,+,+,−,D,1.0833333333333333,F,2.0
707,122,s̠ (s),+,−,+,−,D,0.625,F,2.0
1363,122,s̠,+,−,+,−,D,0.625,F,2.0
829,123,ʁ (r),+,+,−,−,Q (D),-2.4166666666666665,F (L),1.75
816,124,x~h,+,−,−,−,K~H,-4.5,F,2.0
1764,124,x~h,+,+,−,−,K~H,4.5,F,2.0
1765,125,rː,+,+,−,−,D,0.75,LL,1.5625
1767,126,r̠ː,+,+,−,−,Ɉ,-0.5,LL,1.5625
822,127,r (ʀ),+,+,−,−,D (Q),-0.8333333333333334,L,1.25
840,128,ʐː~rː,+,+,+/−,−,Ɉ~D,-0.25,FF~LL,2.03125
880,129,ȴ[ʎ̟] (ʈ͡ʂ),+,+ (−),− (+),+ (−),Ɉ,-0.4166666666666667,LW (P͡F),1.5
2171,13,ʈ,+,−,−,−,Ɉ,-1.25,P,4.0
1442,131,l~ɰ,+,+,−,+/−,D~K,-1.125,LW~W,0.5416666666666666
831,132,r (ʁ),+,+,−,−,D (Q),-0.8333333333333334,L (F),1.5
1918,133,l (ȴ~j),+,+,−,+ (−),D (Ɉ),0.1666666666666666,LW(W),0.6666666666666666
1342,134,w~∅,+/−,+,−,−,BK,0.0,W~∅,0.1666666666666666
1847,134,w~∅,+/−,+/−,−,−,BK,0.0,W~∅,0.1666666666666666
1864,135,ɡ~w,+,+,−,−,K~BK,-1.5,P~W,2.25
1822,136,ɡ~∅,+/−,+/−,−,−,K,-3.0,P~∅,2.0
1821,137,w~v,+,+,−,−,BK~B,1.25,W~F,1.5
1023,138,v~∅,+/−,+/−,−,−,B,2.5,F~∅,1.0
877,139,l̪ʲ,+,+,−,+,Ɉ,-0.1666666666666666,LW,0.75
2237,14,ɖ,+,+,−,−,Ɉ,-1.25,P,4.0
1422,140,ʟ,+,+,−,+,K,-3.0,LW,0.75
2690,140,ʟ,+,+,−,+,Ɉ,-3.0,LW,0.75
819,141,r̠,+,+,−,−,Ɉ,-0.5,L,1.25
824,142,ʁ (ʀ),+,+,−,−,Q,-4.0,F (L),1.75
1977,143,ɾ (ʀ),+,+,−,−,D (Q),-0.8333333333333334,L,1.0833333333333333
2138,145,t̪~ʈ,+,−,−,−,D~Ɉ,0.5416666666666667,P,4.0
2137,146,ɾ~ɽ,+,+,−,−,D~Ɉ,-0.25,L,1.0
2204,147,d̪~ɖ,+,+,−,−,D~Ɉ,0.5416666666666667,P,4.0
2320,148,k~ȶ,+,−,−,−,K~Ɉ,-1.5,P,4.0
2321,149,l~j,+,+,−,+/−,D~Ɉ,-0.625,LW~W,0.5416666666666666
2406,15,kʷ,+,−,−,−,BK,-1.0,P,4.0
252,150,k~c,+,−,−,−,K~Ɉ,-2.5,P,4.0
1066,151,j~∅,+/−,+/−,−,−,Ɉ,-2.0,W~∅,0.1666666666666666
2371,151,j~∅,+,+/−,−,−,Ɉ,-2.0,W~∅,0.1666666666666666
253,152,c~t̠͡ʃ,+,−,−/+,−,Ɉ,-1.25,P~P͡F,3.5
410,153,ɟ~d̠͡ʒ,+,+,−/+,−,Ɉ,-1.25,P~P͡F,3.5
2743,154,ɡ~ɟ,+,+,−,−,K~Ɉ,-2.5,P,4.0
2677,155,ȴ[ʎ̟]~j,+,+,−,+/−,Ɉ,-1.0,LW~W,0.5416666666666666
2745,156,ɟ~∅,+/−,+/−,−,−,Ɉ,-2.0,P~∅,2.0
2832,157,f~ç,+,−,−,−,B~Ɉ,0.25,F,2.0
2890,158,ç~ʃ,+,−,−/+,−,Ɉ,-1.0,F,2.0
694,161,s̠~s,+,−,+,−,D,0.75,F,2.0
996,164,b~β̞,+,+,−,−,B,3.0,P~W,2.25
997,165,b~β,+,+,−,−,B,3.0,P~F,3.0
995,166,β~β̞,+,+,−,−,B,3.0,F~W,1.25
1015,167,v~β̞,+,+,−,−,B,2.75,F~W,1.25
319,17,c,+,−,−,−,Ɉ,-2.0,P,4.0
1032,170,ð~ð̞,+,+,−,−,D,1.9166666666666663,F~W,1.25
1115,171,ɡ~ɣ̞,+,+,−,−,K,-3.0,P~W,2.25
1116,172,ɡ~ɣ,+,+,−,−,K,-3.0,P~F,3.0
1114,173,ɣ~ɣ̞,+,+,−,−,K,-3.0,F~W,1.25
1077,174,ʝ~∅,+/−,+/−,−,−,Ɉ,-2.0,W~∅,-1.0
1096,175,ð̞~∅,+/−,+/−,−,−,D,1.8333333333333333,W~∅,0.25
421,176,ɡ (ħ),+,+ (−),−,−,K (H),-3.6666666666666665,P (F),3.333333333333333
1124,177,ɣ̞ (ħ),+,+ (−),−,−,K (H),-3.6666666666666665,W (F),1.0
354,18,ɟ,+,+,−,−,Ɉ,-2.0,P,4.0
3063,180,tt͡s,+,−,+,−,D,1.0,PP͡F,3.75
3174,181,dd͡z,+,+,+,−,D,1.0,PP͡F,3.75
1243,183,dd͡z,+,+,+,−,Ɉ,1.0,PP͡F,3.75
1632,186,t̠t̠͡ʃ,+,−,+,−,Ɉ,-0.5,PP͡F,3.75
1240,187,d̠d̠͡ʒ,+,+,+,−,Ɉ,-0.5,PP͡F,3.75
210,19,k,+,−,−,−,K,-3.0,P,4.0
1241,190,dd͡z~d̠d̠͡ʒ,+,+,+,−,D~Ɉ,0.25,PP͡F,3.75
1284,191,◌̃,−,+,−,−,D,0.75,N~∅,0.75
1319,192,β̞~∅,+/−,+,−,−,B,3.0,W~∅,0.25
1466,193,ʝ~ʃ,+,+/−,−/+,−,Ɉ,-1.25,F,2.0
343,194,̠d̠͡ʒ (d͡z̠),+,+,+,−,Ɉ (D),-0.1666666666666666,P͡F,3.0
1519,195,pp,+,−,−,−,B,3.0,PP,5.0
1540,196,bb,+,+,−,−,B,3.0,PP,5.0
1556,197,t̪t̪,+,−,−,−,D,1.6666666666666667,PP,5.0
1576,198,d̪d̪,+,+,−,−,D,1.6666666666666667,PP,5.0
0,2,b,+,+,−,−,B,3.0,P,4.0
298,20,ɡ,+,+,−,−,K,-3.0,P,4.0
1797,201,ɖɖ,+,+,−,−,Ɉ,-1.25,PP,5.0
1590,206,kk,+,−,−,−,K,-3.0,PP,5.0
1694,208,ff,+,−,−,−,B,2.5,FF,2.5
1738,216,ss,+,−,+,−,D,1.0,FF,2.5
1713,218,s̠s̠,+,−,+,−,D,0.5,FF,2.5
1720,222,ʃʃ,+,−,+,−,Ɉ,-0.5,FF,2.5
1654,229,mm,+,+,−,−,B,3.0,NN,1.875
1673,232,nn,+,+,−,−,D,0.75,NN,1.875
874,240,l (ɰ),+,+,−,+ (−),D (K),-0.5,LW (W),0.611111111111111
1800,241,ll (ȴȴ),+,+,−,+,D (Ɉ),0.5,LLWW,0.9375
1799,243,ll,+,+,−,+,D,0.75,LLWW,0.9375
3569,244,ȴȴ [ʎ̟ʎ̟],+,+,−,+,Ɉ,0.0,LLWW,0.9375
1789,249,ll~ɭɭ,+,+,−,+,D~Ɉ,-0.25,LLWW,0.9375
1453,251,jj,+,+,−,−,Ɉ,-2.0,WW,0.4166666666666666
1805,252,ʎ~ʝ,+,+,−,+/−,Ɉ,-2.0,LW~F,1.375
1359,253,z~s,+,+/−,+,−,D,1.0,F,2.0
2979,254,β~ʒ,+,+,−/+,−,B~Ɉ,1.25,F (W),1.625
3019,255,β~d̠͡ʒ,+,+,−/+,−,B~Ɉ,1.25,F~P͡F,2.625
2960,256,β~ʒ,+,+,−/+,−,B~Ɉ,1.25,F (P),2.5
3038,257,∅ (z̠),− (+),− (+),− (+),−,D,0.5,∅ (F),0.6666666666666666
