,IPA_key,IPA,consonantal,voice,voice,sibilant,lateral,place_articulation,place_value,articulation_manner,consonantality_value
356,98.0,j,+,+,0.0,−,−,Ɉ,-2.0,W,0.3333333333333333
2091,98.0,j,+,+,0.0,−,−,Ɉ,-2.0,W,0.5
3476,151.0,j~∅,,+/−,127.5,−,−,Ɉ,-2.0,W~∅,0.1666666666666666
1066,151.0,j~∅,+/−,+/−,127.5,−,−,Ɉ,-2.0,W~∅,0.1666666666666666
1443,82.0,ɾ̪,+,+,0.0,−,−,D,1.6666666666666667,L,0.875
842,82.0,ɾ̪,+,+,0.0,−,−,D,1.6666666666666667,L,1.0
1422,140.0,ʟ,+,+,0.0,−,+,K,-3.0,LW,0.75
2690,140.0,ʟ,+,+,0.0,−,+,Ɉ,-3.0,LW,0.75
2979,254.0,β~ʒ,+,+,0.0,−/+,−,B~Ɉ,1.25,F (W),1.625
2960,256.0,β~ʒ,+,+,0.0,−/+,−,B~Ɉ,1.25,F (P),2.5
