Consonantality values,,,(×1.25 for gemination),,,,,,,
PP,5,Geminate plosive,,,,,,,,
P,4,Plosive,,,,,,,,
PP͡F,3.75,Geminate affricate,,,,,,,,
P͡F,3,Affricate,,,,,,,,
FF,2.5,Geminate fricative,,,,,,,,
F,2,Fricative,,,,,,,,
RRR,1.875,Geminate trill,,,,,,,,
NN,1.5625,Geminate nasal,,,,,,,,
RR,1.5,Trill,,,,,,,,
N,1.25,Nasal,,,,,,,,
R,1,Tap/flap,,,,,,,,
LL,0.9375,Geminate lateral approximant,,,,,,,,
L,0.75,Lateral approximant,,,,,,,,
WW,0.625,Geminate approximant,,,,,,,,
W,0.5,Approximant,,,,,,,,
GG,0.46875,Geminate glide/semivowel,,,,,,,,
G,0.375,Glide/semivowel,,,,,,,,
∅,0,Zero/Absorption into vowel,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
