key,IPA,Rounded?,Nasal?,Front?,Raised?,Retracted?,Height,"Height
value",Backness,"Backness
value"
501,i,−,−,+,−,−,Ɨ,6,E,1
502,i̞,−,−,+,−,−,Ɨ,5,E,1
503,e,−,−,+,−,−,Ə,4,E,1
504,e̞,−,−,+,−,−,Ə,3,E,1
505,ɛ,−,−,+,−,−,Ə,2,E,1
506,æ,−,−,+,−,−,A,1,E,1
507,y,+,−,+,−,−,Ɨ,6,E,0.5
508,ɪ,−,−,+,−,−,Ɨ,5,E,0.5
509,ø,+,−,+,−,−,Ə,4,E,0.5
510,ø̞,+,−,+,−,−,Ə,3,E,0.5
511,œ,+,−,+,−,−,Ə,2,E,0.5
512,ɨ,−,−,+,+,−,Ɨ,6,Ɵ,0
513,ᵿ,+,−,+,+,−,Ɨ,5,Ɵ,0
514,ə,−,−,+,−,−,Ə,3,Ɵ,0
515,ɜ,−,−,+,−,,Ə,2,Ɵ,0
516,ɐ,,−,,−,,A,1,Ɵ,0
517,ä,−,−,−,−,−,A,0,Ɵ,0
518,ʌ,−,−,−,−,+,Ə,2,O,-0.5
519,ɤ̞,−,−,−,+,+,Ə,3,O,-0.5
520,ɤ,−,−,−,+,−,Ə,4,O,-0.5
521,ʊ,+,−,−,+,−,Ɨ,5,O,-0.5
522,ɯ,−,−,−,+,−,Ɨ,6,O,-0.5
523,ɑ,+,−,−,−,+,A,1,O,-1
524,ɔ,+,−,−,−,+,Ə,2,O,-1
525,o̞,+,−,−,+,+,Ə,3,O,-1
526,o,+,−,−,+,−,Ə,4,O,-1
527,u̞,+,−,−,+,−,Ɨ,5,O,-1
528,u,+,−,−,+,−,Ɨ,6,O,-1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
