key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Geminate?,"Place of
articulation","Place
value","Manner of
articulation","Consonantality
value",,,,,,
1,pp,+,−,−,−,+,B,3,PP,5,,,,,,
2,bb,+,+,−,−,+,B,3,PP,5,,,,,,
3,p̪p̪,+,−,−,−,+,B,2.5,PP,5,,,,,,
4,b̪b̪,+,+,−,−,+,B,2.5,PP,5,,,,,,
5,t̪t̪,+,−,−,−,+,D,1.666666667,PP,5,,,,,,
6,d̪d̪,+,+,−,−,+,D,1.666666667,PP,5,,,,,,
7,tt,+,−,−,−,+,D,0.75,PP,5,,,,,,
8,dd,+,+,−,−,+,D,0.75,PP,5,,,,,,
9,ȶȶ,+,−,−,−,+,Ɉ,0,PP,5,,,,,,
10,ȡȡ,+,+,−,−,+,Ɉ,0,PP,5,,,,,,
11,t̠t̠,+,−,−,−,+,Ɉ,-0.5,PP,5,,,,,,
12,d̠d̠,+,+,−,−,+,Ɉ,-0.5,PP,5,,,,,,
13,ʈʈ,+,−,−,−,+,Ɉ,-1.25,PP,5,,,,,,
14,ɖɖ,+,+,−,−,+,Ɉ,-1.25,PP,5,,,,,,
15,kkʷ,+,−,−,−,+,BK,-1.5,PP,5,,,,,,
16,ɡɡʷ,+,+,−,−,+,BK,-1.5,PP,5,,,,,,
17,cc,+,−,−,−,+,Ɉ,-2,PP,5,,,,,,
18,ɟɟ,+,+,−,−,+,Ɉ,-2,PP,5,,,,,,
19,kk,+,−,−,−,+,K,-3,PP,5,,,,,,
20,ɡɡ,+,+,−,−,+,K,-3,PP,5,,,,,,
21,qq,+,−,−,−,+,Q,-4,PP,5,,,,,,
22,ɢɢ,+,+,−,−,+,Q,-4,PP,5,,,,,,
23,ʡʡ,+,−,−,−,+,H,-5,PP,5,,,,,,
24,ʔʔ,+,−,−,−,+,H,-6,PP,5,,,,,,
25,p,+,−,−,−,−,B,3,P,4,,,,,,
26,b,+,+,−,−,−,B,3,P,4,,,,,,
27,p̪,+,−,−,−,−,B,2.5,P,4,,,,,,
28,b̪,+,+,−,−,−,B,2.5,P,4,,,,,,
29,t̪,+,−,−,−,−,D,1.666666667,P,4,,,,,,
30,d̪,+,+,−,−,−,D,1.666666667,P,4,,,,,,
31,t,+,−,−,−,−,D,0.75,P,4,,,,,,
32,d,+,+,−,−,−,D,0.75,P,4,,,,,,
33,ȶ,+,−,−,−,−,Ɉ,0,P,4,,,,,,
34,ȡ,+,+,−,−,−,Ɉ,0,P,4,,,,,,
35,t̠,+,−,−,−,−,Ɉ,-0.5,P,4,,,,,,
36,d̠,+,+,−,−,−,Ɉ,-0.5,P,4,,,,,,
37,ʈ,+,−,−,−,−,Ɉ,-1.25,P,4,,,,,,
38,ɖ,+,+,−,−,−,Ɉ,-1.25,P,4,,,,,,
39,kʷ,+,−,−,−,−,BK,-1.5,P,4,,,,,,
40,ɡʷ,+,+,−,−,−,BK,-1.5,P,4,,,,,,
41,c,+,−,−,−,−,Ɉ,-2,P,4,,,,,,
42,ɟ,+,+,−,−,−,Ɉ,-2,P,4,,,,,,
43,k,+,−,−,−,−,K,-3,P,4,,,,,,
44,ɡ,+,+,−,−,−,K,-3,P,4,,,,,,
45,q,+,−,−,−,−,Q,-4,P,4,,,,,,
46,ɢ,+,+,−,−,−,Q,-4,P,4,,,,,,
47,ʡ,+,−,−,−,−,H,-5,P,4,,,,,,
48,ʔ,+,−,−,−,−,H,-6,P,4,,,,,,
49,pp͡ɸ,+,−,−,−,+,B,3,PP͡F,3.75,,,,,,
50,bb͡β,+,+,−,−,+,B,3,PP͡F,3.75,,,,,,
51,pp͡f,+,−,−,−,+,B,2.5,PP͡F,3.75,,,,,,
52,bb͡v,+,+,−,−,+,B,2.5,PP͡F,3.75,,,,,,
53,tt͡θ,+,−,−,−,+,D,2,PP͡F,3.75,,,,,,
54,dd͡ð,+,+,−,−,+,D,2,PP͡F,3.75,,,,,,
55,tt͡s̟,+,−,+,−,+,D,1.666666667,PP͡F,3.75,,,,,,
56,dd͡z̟,+,+,+,−,+,D,1.666666667,PP͡F,3.75,,,,,,
57,tt͡s̪,+,−,+,−,+,D,1.333333333,PP͡F,3.75,,,,,,
58,dd͡z̪,+,+,+,−,+,D,1.333333333,PP͡F,3.75,,,,,,
59,tt͡s,+,−,+,−,+,D,1,PP͡F,3.75,,,,,,
60,dd͡z,+,+,+,−,+,D,1,PP͡F,3.75,,,,,,
