,IPA_key,IPA,consonantal,voice,voice,sibilant,lateral,place_articulation,place_value,articulation_manner,consonantality_value
994,1.0,p,+,−,255.0,−,−,B,3.0,P,4.0
0,2.0,b,+,+,0.0,−,−,B,3.0,P,4.0
66,5.0,t̪,+,−,255.0,−,−,D,1.6666666666666667,P,4.0
137,6.0,d̪,+,+,0.0,−,−,D,1.6666666666666667,P,4.0
2171,13.0,ʈ,+,−,255.0,−,−,Ɉ,-1.25,P,4.0
2237,14.0,ɖ,+,+,0.0,−,−,Ɉ,-1.25,P,4.0
2406,15.0,kʷ,+,−,255.0,−,−,BK,-1.0,P,4.0
319,17.0,c,+,−,255.0,−,−,Ɉ,-2.0,P,4.0
354,18.0,ɟ,+,+,0.0,−,−,Ɉ,-2.0,P,4.0
210,19.0,k,+,−,255.0,−,−,K,-3.0,P,4.0
298,20.0,ɡ,+,+,0.0,−,−,K,-3.0,P,4.0
94,26.0,t͡s̪,+,−,255.0,+,−,D,1.3333333333333333,P͡F,3.0
165,27.0,d͡z̪,+,+,0.0,+,−,D,1.3333333333333333,P͡F,3.0
1568,28.0,t͡s,+,−,255.0,+,−,D,1.0,P͡F,3.0
96,34.0,t̠͡ʃ,+,−,255.0,+,−,Ɉ,-0.5,P͡F,3.0
167,35.0,d̠͡ʒ,+,+,0.0,+,−,Ɉ,-0.5,P͡F,3.0
338,39.0,ɟ͡ʝ,+,+,0.0,−,−,Ɉ,-2.0,P͡F,3.0
999,41.0,β,+,+,0.0,−,−,B,3.0,F,2.0
556,42.0,f,+,−,255.0,−,−,B,2.5,F,2.0
22,43.0,v,+,+,0.0,−,−,B,2.5,F,2.0
233,44.0,θ,+,−,255.0,−,−,D,2.0,F,2.0
1033,45.0,ð,+,+,0.0,−,−,D,2.0,F,2.0
235,46.0,s̟,+,−,255.0,+,−,D,1.6666666666666667,F,2.0
216,48.0,s̪,+,−,255.0,+,−,D,1.3333333333333333,F,2.0
166,49.0,z̪,+,+,0.0,+,−,D,1.3333333333333333,F,2.0
208,50.0,s,+,−,255.0,+,−,D,1.0,F,2.0
1129,51.0,z,+,+,0.0,+,−,D,1.0,F,2.0
211,52.0,s̠,+,−,255.0,+,−,D,0.5,F,2.0
1351,53.0,z̠,+,+,0.0,+,−,D,0.5,F,2.0
245,56.0,ʃ,+,−,255.0,+,−,Ɉ,-0.5,F,2.0
337,57.0,ʒ,+,+,0.0,+,−,Ɉ,-0.5,F,2.0
1227,61.0,ʝ,+,+,0.0,−,−,Ɉ,-2.0,F,2.0
939,63.0,x,+,−,255.0,−,−,K,-3.0,F,2.0
1118,64.0,ɣ,+,+,0.0,−,−,K,-3.0,F,2.0
917,68.0,h,+,+,0.0,−,−,H,-6.0,F,2.0
523,70.0,m,+,+,0.0,−,−,B,3.0,N,1.5
465,72.0,n̪,+,+,0.0,−,−,D,1.67,N,1.5
457,73.0,n,+,+,0.0,−,−,D,0.75,N,1.5
3506,74.0,ȵ,+,+,0.0,−,−,Ɉ,0.0,N,1.5
3491,76.0,ɲ,+,+,0.0,−,−,Ɉ,-2.0,N,1.5
817,79.0,r,+,+,0.0,−,−,D,0.75,L,1.25
2172,80.0,ɽ,+,+,0.0,−,−,Ɉ,-1.25,L,1.0
826,81.0,ʀ,+,+,0.0,−,−,Q,-4.0,L,1.25
1443,82.0,ɾ̪,+,+,0.0,−,−,D,1.6666666666666667,L,0.875
842,82.0,ɾ̪,+,+,0.0,−,−,D,1.6666666666666667,L,1.0
1388,83.0,ɾ,+,+,0.0,−,−,D,0.75,L,1.0
849,85.0,l,+,+,0.0,−,+,D,0.75,LW,0.75
852,86.0,ȴ [ʎ̟],+,+,0.0,−,+,Ɉ,0.0,LW,0.75
851,87.0,ɫ̪,+,+,0.0,−,+,DQ,-1.1666666666666667,LW,0.75
1421,89.0,ɫ,+,+,0.0,−,+,DQ,-1.625,LW,0.75
1924,90.0,ʎ,+,+,0.0,−,+,Ɉ,-2.0,L,0.75
993,91.0,β̞,+,+,0.0,−,−,B,3.0,W,0.5
1030,92.0,ð̞,+,+,0.0,−,−,D,1.8333333333333333,W,0.5
1112,95.0,ɣ̞,+,+,0.0,−,−,K,-3.0,W,0.5
624,97.0,w,+,+,0.0,−,−,BK,0.0,W,0.3333333333333333
356,98.0,j,+,+,0.0,−,−,Ɉ,-2.0,W,0.3333333333333333
2091,98.0,j,+,+,0.0,−,−,Ɉ,-2.0,W,0.5
159,101.0,d̪~ɾ,+,+,0.0,−,−,D,1.2083333333333337,P~L,2.4375
232,102.0,θ (s),+,−,255.0,+/−,−,D,1.6666666666666667,F,2.0
222,103.0,ʃ~s̠,+,−,255.0,+,−,Ɉ~D,0.0,F,2.0
229,104.0,s̠~θ,+,−,255.0,+/−,−,D,1.25,F,2.0
243,105.0,k (t͡s),+,−,255.0,−/+,−,K (Ɉ),2.333333333333333,P (P͡F),3.6666666666666665
248,106.0,t̠͡ʃ~θ,+,−,255.0,+ (−),−,Ɉ~D,0.75,P͡F~F,2.5
348,107.0,d͡z~ð,+,+,0.0,+/−,−,D,1.5,P͡F~F,2.5
351,108.0,d̠͡ʒ~z,+,+,0.0,+,−,Ɉ~D,0.25,P͡F~F,2.5
358,109.0,z̠~ð,+,−,255.0,+/−,−,D,1.25,F,2.0
401,110.0,ɡ (d͡z),+,+,0.0,−/+,−,K (Ɉ),2.333333333333333,P (P͡F),3.6666666666666665
349,111.0,z (d͡z),+,+,0.0,+,−,D,1.0,F (P͡F),2.333333333333333
417,112.0,ɡ~j,+,+,0.0,−,−,K~Ɉ,-2.5,P~W,2.1666666666666665
486,113.0,n~ɲ,+,+,0.0,−,−,D~Ɉ,-0.625,N,1.5
557,114.0,ɸ~f,+,−,255.0,−,−,B,2.75,F,2.0
585,115.0,f (h),+,−,255.0,−,−,B (H),-0.1666666666666666,F,2.0
620,116.0,h~∅,−,−,255.0,−,−,H,-6.0,F~∅,1.0
21,117.0,b~v,+,+,0.0,−,−,B,2.75,P~F,3.0
691,118.0,s (s̠),+,−,255.0,+,−,D,0.875,F,2.0
1358,119.0,z (z̠),+,+,0.0,+,−,D,0.875,F,2.0
221,120.0,s (s̪),+,−,255.0,+,−,D,1.0833333333333333,F,2.0
1137,121.0,z (z̪),+,+,0.0,+,−,D,1.0833333333333333,F,2.0
707,122.0,s̠ (s),+,−,255.0,+,−,D,0.625,F,2.0
829,123.0,ʁ (r),+,+,0.0,−,−,Q (D),-2.4166666666666665,F (L),1.75
816,124.0,x~h,+,−,255.0,−,−,K~H,-4.5,F,2.0
1765,125.0,rː,+,+,0.0,−,−,D,0.75,LL,1.5625
1767,126.0,r̠ː,+,+,0.0,−,−,Ɉ,-0.5,LL,1.5625
822,127.0,r (ʀ),+,+,0.0,−,−,D (Q),-0.8333333333333334,L,1.25
840,128.0,ʐː~rː,+,+,0.0,+/−,−,Ɉ~D,-0.25,FF~LL,2.03125
880,129.0,ȴ[ʎ̟] (ʈ͡ʂ),+,+ (−),85.0,− (+),+ (−),Ɉ,-0.4166666666666667,LW (P͡F),1.5
1442,131.0,l~ɰ,+,+,0.0,−,+/−,D~K,-1.125,LW~W,0.5416666666666666
831,132.0,r (ʁ),+,+,0.0,−,−,D (Q),-0.8333333333333334,L (F),1.5
1918,133.0,l (ȴ~j),+,+,0.0,−,+ (−),D (Ɉ),0.1666666666666666,LW(W),0.6666666666666666
1342,134.0,w~∅,+/−,+/−,127.5,−,−,BK,0.0,W~∅,0.1666666666666666
1864,135.0,ɡ~w,+,+,0.0,−,−,K~BK,-1.5,P~W,2.25
1822,136.0,ɡ~∅,+/−,+/−,127.5,−,−,K,-3.0,P~∅,2.0
1821,137.0,w~v,+,+,0.0,−,−,BK~B,1.25,W~F,1.5
1023,138.0,v~∅,+/−,+/−,127.5,−,−,B,2.5,F~∅,1.0
877,139.0,l̪ʲ,+,+,0.0,−,+,Ɉ,-0.1666666666666666,LW,0.75
1422,140.0,ʟ,+,+,0.0,−,+,K,-3.0,LW,0.75
2690,140.0,ʟ,+,+,0.0,−,+,Ɉ,-3.0,LW,0.75
819,141.0,r̠,+,+,0.0,−,−,Ɉ,-0.5,L,1.25
824,142.0,ʁ (ʀ),+,+,0.0,−,−,Q,-4.0,F (L),1.75
1977,143.0,ɾ (ʀ),+,+,0.0,−,−,D (Q),-0.8333333333333334,L,1.0833333333333333
2138,145.0,t̪~ʈ,+,−,255.0,−,−,D~Ɉ,0.5416666666666667,P,4.0
2137,146.0,ɾ~ɽ,+,+,0.0,−,−,D~Ɉ,-0.25,L,1.0
2204,147.0,d̪~ɖ,+,+,0.0,−,−,D~Ɉ,0.5416666666666667,P,4.0
2320,148.0,k~ȶ,+,−,255.0,−,−,K~Ɉ,-1.5,P,4.0
2321,149.0,l~j,+,+,0.0,−,+/−,D~Ɉ,-0.625,LW~W,0.5416666666666666
252,150.0,k~c,+,−,255.0,−,−,K~Ɉ,-2.5,P,4.0
3476,151.0,j~∅,,+/−,127.5,−,−,Ɉ,-2.0,W~∅,0.1666666666666666
1066,151.0,j~∅,+/−,+/−,127.5,−,−,Ɉ,-2.0,W~∅,0.1666666666666666
253,152.0,c~t̠͡ʃ,+,−,255.0,−/+,−,Ɉ,-1.25,P~P͡F,3.5
410,153.0,ɟ~d̠͡ʒ,+,+,0.0,−/+,−,Ɉ,-1.25,P~P͡F,3.5
2743,154.0,ɡ~ɟ,+,+,0.0,−,−,K~Ɉ,-2.5,P,4.0
2677,155.0,ȴ[ʎ̟]~j,+,+,0.0,−,+/−,Ɉ,-1.0,LW~W,0.5416666666666666
2745,156.0,ɟ~∅,+/−,+/−,127.5,−,−,Ɉ,-2.0,P~∅,2.0
2832,157.0,f~ç,+,−,255.0,−,−,B~Ɉ,0.25,F,2.0
2890,158.0,ç~ʃ,+,−,255.0,−/+,−,Ɉ,-1.0,F,2.0
694,161.0,s̠~s,+,−,255.0,+,−,D,0.75,F,2.0
996,164.0,b~β̞,+,+,0.0,−,−,B,3.0,P~W,2.25
997,165.0,b~β,+,+,0.0,−,−,B,3.0,P~F,3.0
995,166.0,β~β̞,+,+,0.0,−,−,B,3.0,F~W,1.25
1015,167.0,v~β̞,+,+,0.0,−,−,B,2.75,F~W,1.25
1032,170.0,ð~ð̞,+,+,0.0,−,−,D,1.9166666666666663,F~W,1.25
1115,171.0,ɡ~ɣ̞,+,+,0.0,−,−,K,-3.0,P~W,2.25
1116,172.0,ɡ~ɣ,+,+,0.0,−,−,K,-3.0,P~F,3.0
