old key,IPA,new key
1,p,25
2,b,26
3,p̪,27
4,b̪,28
5,t̪,29
6,d̪,30
7,t,31
8,d,32
9,ȶ,33
10,ȡ,34
11,t̠,35
12,d̠,36
13,ʈ,37
14,ɖ,38
15,kʷ,39
16,ɡʷ,40
17,c,41
18,ɟ,42
19,k,43
20,ɡ,44
21,ʔ,48
22,t͡θ,94
23,d͡ð,95
24,t͡s̟,96
25,d͡z̟,97
26,t͡s̪,98
27,d͡z̪,99
28,t͡s,100
29,d͡z,101
30,t͡s̠,104
31,d͡z̠,105
32,t͡ɕ,106
33,d͡ʑ,107
34,t̠͡ʃ,108
35,d̠͡ʒ,109
36,ʈ͡ʂ,112
37,ɖ͡ʐ,113
38,c͡ç,114
39,ɟ͡ʝ,115
40,ɸ,173
41,β,174
42,f,175
43,v,176
44,θ,177
45,ð,178
46,s̟,179
47,z̟,180
48,s̪,181
49,z̪,182
50,s,183
51,z,184
52,s̠,187
53,z̠,188
54,ɕ,189
55,ʑ,190
56,ʃ,191
57,ʒ,192
58,ʂ,195
59,ʐ,196
60,ç,197
61,ʝ,198
62,ʎ̝,213
63,x,199
64,ɣ,200
65,χ,201
66,ʁ,202
67,ħ,203
68,h,205
69,ɦ,206
70,m,254
71,ɱ,255
72,n̪,256
73,n,257
74,ȵ,258
75,n̠,259
76,ɲ,261
77,ŋ,262
78,r̪,243
79,r,245
80,ɽ,273
81,ʀ,251
82,ɾ̪,267
83,ɾ,269
84,l̪,301
85,l,303
86,ȴ [ʎ̟],304
87,ɫ̪,309
88,ɭ,311
89,ɫ,313
90,ʎ,315
91,β̞,328
92,ð̞,330
93,ɹ,331
94,ɻ,334
95,ɣ̞,335
96,ʋ,329
97,w,346
98,j,348
99,ɥ,345
100,ɰ,350
101,d̪~ɾ,
102,θ (s),
103,ʃ~s̠,
104,s̠~θ,
105,k (t͡s),
106,t̠͡ʃ~θ,
107,d͡z~ð,
108,d̠͡ʒ~z,
109,z̠~ð,
110,ɡ (d͡z),
111,z (d͡z),
112,ɡ~j,
113,n~ɲ,
114,ɸ~f,
115,f (h),
116,h~∅,
117,b~v,
