,IPA_key,IPA,rounded,nasal,front,raised,retracted,height,height_value,backness,backness_value
0,501.0,i,0,0,1,0,0,Ɨ,6.0,E,1.0
1,502.0,i̞,0,0,1,0,0,Ɨ,5.0,E,1.0
2,503.0,e,0,0,1,0,0,Ə,4.0,E,1.0
3,504.0,e̞,0,0,1,0,0,Ə,3.0,E,1.0
4,505.0,ɛ,0,0,1,0,0,Ə,2.0,E,1.0
5,506.0,æ,0,0,1,0,0,A,1.0,E,1.0
6,507.0,y,1,0,1,0,0,Ɨ,6.0,E,0.5
7,508.0,ɪ,0,0,1,0,0,Ɨ,5.0,E,0.5
8,509.0,ø,1,0,1,0,0,Ə,4.0,E,0.5
9,510.0,ø̞,1,0,1,0,0,Ə,3.0,E,0.5
10,511.0,œ,1,0,1,0,0,Ə,2.0,E,0.5
11,512.0,ɨ,0,0,1,1,0,Ɨ,6.0,Ɵ,0.0
12,513.0,ᵿ,1,0,1,1,0,Ɨ,5.0,Ɵ,0.0
13,514.0,ə,0,0,1,0,0,Ə,3.0,Ɵ,0.0
14,515.0,ɜ,0,0,1,0,,Ə,2.0,Ɵ,0.0
15,516.0,ɐ,,0,,0,,A,1.0,Ɵ,0.0
16,517.0,ä,0,0,0,0,0,A,0.0,Ɵ,0.0
17,518.0,ʌ,0,0,0,0,1,Ə,2.0,O,-0.5
18,519.0,ɤ̞,0,0,0,1,1,Ə,3.0,O,-0.5
19,520.0,ɤ,0,0,0,1,0,Ə,4.0,O,-0.5
20,521.0,ʊ,1,0,0,1,0,Ɨ,5.0,O,-0.5
21,522.0,ɯ,0,0,0,1,0,Ɨ,6.0,O,-0.5
22,523.0,ɑ,1,0,0,0,1,A,1.0,O,-1.0
23,524.0,ɔ,1,0,0,0,1,Ə,2.0,O,-1.0
24,525.0,o̞,1,0,0,1,1,Ə,3.0,O,-1.0
25,526.0,o,1,0,0,1,0,Ə,4.0,O,-1.0
26,527.0,u̞,1,0,0,1,0,Ɨ,5.0,O,-1.0
27,528.0,u,1,0,0,1,0,Ɨ,6.0,O,-1.0
