,number,treatment,environment,language,version,display,sonority_avg,place_avg,voice_avg
0,1.0,B-,"#_{a,O}",AMR ESP,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",AND ESP,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ARG,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",WAL,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",VEN,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ARO,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ARP,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ASL,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",BAL,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",BR POR,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",FUR,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",GAL,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",GAS OCC,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",ITA,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",LAT,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",CPN SRD,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",EU POR,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",CAS ESP,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",COR,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",CAT,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",EU FRA,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",CAM,1.0,v,2.0,2.5,0.0
0,1.0,B-,"#_{a,O}",QBC FRA,1.0,b,4.0,3.0,0.0
0,1.0,B-,"#_{a,O}",SCN,1.0,v,2.0,2.5,0.0
0,1.0,B-,"#_{a,O}",RMH,1.0,b,4.0,3.0,0.0
