,treatment,environment,Languages,Consonantal +/−,Grapheme,IPA,IPA key,Lateral +/−,Manner of articulation,Place of articulation,Place value,Sibilant +/−,Sonority value,Voice +/−,version
0,B-,"#_{a,O}",BR POR,+,b,b,2,−,P,B,3,−,4,+,1.0
1,B-,"#_{a,O}",AMR ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
2,B-,"#_{a,O}",LAT,+,B,b,2,−,P,B,3,−,4,+,1.0
3,B-,"#_{a,O}",CAT,+,b,b,2,−,P,B,3,−,4,+,1.0
4,B-,"#_{a,O}",VAL,+,b,b,2,−,P,B,3,−,4,+,1.0
5,B-,"#_{a,O}",BAL,+,b,b,2,−,P,B,3,−,4,+,1.0
6,B-,"#_{a,O}",OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
7,B-,"#_{a,O}",GAS OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
8,B-,"#_{a,O}",EU FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
9,B-,"#_{a,O}",QBC FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
10,B-,"#_{a,O}",WAL,+,b,b,2,−,P,B,3,−,4,+,1.0
11,B-,"#_{a,O}",ARP,+,b,b,2,−,P,B,3,−,4,+,1.0
12,B-,"#_{a,O}",LIG,+,b,b,2,−,P,B,3,−,4,+,1.0
13,B-,"#_{a,O}",EU POR,+,b,b,2,−,P,B,3,−,4,+,1.0
14,B-,"#_{a,O}",LMO,+,b,b,2,−,P,B,3,−,4,+,1.0
15,B-,"#_{a,O}",RMH,+,b,b,2,−,P,B,3,−,4,+,1.0
16,B-,"#_{a,O}",FUR,+,b,b,2,−,P,B,3,−,4,+,1.0
17,B-,"#_{a,O}",LOG SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
18,B-,"#_{a,O}",CPN SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
19,B-,"#_{a,O}",COR,+,b,b,2,−,P,B,3,−,4,+,1.0
20,B-,"#_{a,O}",ITA,+,b,b,2,−,P,B,3,−,4,+,1.0
21,B-,"#_{a,O}",ABR,,v?,,,,,,,,,,1.0
22,B-,"#_{a,O}",CAM,,v?,,,,,,,,,,1.0
23,B-,"#_{a,O}",PGL,,v?,,,,,,,,,,1.0
24,B-,"#_{a,O}",SCN,,v?,,,,,,,,,,1.0
25,B-,"#_{a,O}",VEN,+,b,b,2,−,P,B,3,−,4,+,1.0
26,B-,"#_{a,O}",ARO,+,b,b,2,−,P,B,3,−,4,+,1.0
27,B-,"#_{a,O}",ROM,+,b,b,2,−,P,B,3,−,4,+,1.0
28,B-,"#_{a,O}",GAL,+,b,b,2,−,P,B,3,−,4,+,1.0
29,B-,"#_{a,O}",ASL,+,b,b,2,−,P,B,3,−,4,+,1.0
30,B-,"#_{a,O}",CAS ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
31,B-,"#_{a,O}",AND ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
32,B-,"#_{a,O}",ARG,+,b,b,2,−,P,B,3,−,4,+,1.0
0,B-,#_E,BR POR,+,b,b,2,−,P,B,3,−,4,+,1.0
1,B-,#_E,AMR ESP,+,b,b,2,−,P,B,3,−,4,+,1.0
2,B-,#_E,LAT,+,B,b,2,−,P,B,3,−,4,+,1.0
3,B-,#_E,CAT,+,b,b,2,−,P,B,3,−,4,+,1.0
4,B-,#_E,VAL,+,b,b,2,−,P,B,3,−,4,+,1.0
5,B-,#_E,BAL,+,b,b,2,−,P,B,3,−,4,+,1.0
6,B-,#_E,OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
7,B-,#_E,GAS OCC,+,b,b,2,−,P,B,3,−,4,+,1.0
8,B-,#_E,EU FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
9,B-,#_E,QBC FRA,+,b,b,2,−,P,B,3,−,4,+,1.0
10,B-,#_E,WAL,+,b,b,2,−,P,B,3,−,4,+,1.0
11,B-,#_E,ARP,+,b,b,2,−,P,B,3,−,4,+,1.0
12,B-,#_E,LIG,+,b,b,2,−,P,B,3,−,4,+,1.0
13,B-,#_E,EU POR,+,b,b,2,−,P,B,3,−,4,+,1.0
14,B-,#_E,LMO,+,b,b,2,−,P,B,3,−,4,+,1.0
15,B-,#_E,RMH,+,b,b,2,−,P,B,3,−,4,+,1.0
16,B-,#_E,FUR,+,b,b,2,−,P,B,3,−,4,+,1.0
17,B-,#_E,LOG SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
18,B-,#_E,CPN SRD,+,b,b,2,−,P,B,3,−,4,+,1.0
19,B-,#_E,COR,+,b,b,2,−,P,B,3,−,4,+,1.0
20,B-,#_E,ITA,+,b,b,2,−,P,B,3,−,4,+,1.0
21,B-,#_E,ABR,,v?,,,,,,,,,,1.0
22,B-,#_E,CAM,,v?,,,,,,,,,,1.0
23,B-,#_E,PGL,,v?,,,,,,,,,,1.0
24,B-,#_E,SCN,,v?,,,,,,,,,,1.0
25,B-,#_E,VEN,+,b,b,2,−,P,B,3,−,4,+,1.0
26,B-,#_E,ARO,+,b,b,2,−,P,B,3,−,4,+,1.0
