IPA,OLD_IPA_key,consonantal,voice,sibilant,lateral,geminate,place_articulation,place_value,articulation_manner,consonantality_value,IPA_key
∅,,False,False,False,False,False,B,3.0,∅,0.0,0.0
pp,195.0,True,False,False,False,True,B,3.0,PP,5.0,1.0
bb,196.0,True,True,False,False,True,B,3.0,PP,5.0,2.0
p̪p̪,,True,False,False,False,True,B,2.5,PP,5.0,3.0
b̪b̪,,True,True,False,False,True,B,2.5,PP,5.0,4.0
t̪t̪,197.0,True,False,False,False,True,D,1.666666667,PP,5.0,5.0
d̪d̪,198.0,True,True,False,False,True,D,1.666666667,PP,5.0,6.0
tt,199.0,True,False,False,False,True,D,0.75,PP,5.0,7.0
dd,200.0,True,True,False,False,True,D,0.75,PP,5.0,8.0
ȶȶ,,True,False,False,False,True,Ɉ,0.0,PP,5.0,9.0
ȡȡ,,True,True,False,False,True,Ɉ,0.0,PP,5.0,10.0
t̠t̠,,True,False,False,False,True,Ɉ,-0.5,PP,5.0,11.0
d̠d̠,,True,True,False,False,True,Ɉ,-0.5,PP,5.0,12.0
ʈʈ,,True,False,False,False,True,Ɉ,-1.25,PP,5.0,13.0
ɖɖ,201.0,True,True,False,False,True,Ɉ,-1.25,PP,5.0,14.0
kkʷ,202.0,True,False,False,False,True,BK,-1.5,PP,5.0,17.0
ɡɡʷ,203.0,True,True,False,False,True,BK,-1.5,PP,5.0,18.0
cc,204.0,True,False,False,False,True,Ɉ,-2.0,PP,5.0,15.0
ɟɟ,205.0,True,True,False,False,True,Ɉ,-2.0,PP,5.0,16.0
kk,206.0,True,False,False,False,True,K,-3.0,PP,5.0,19.0
ɡɡ,207.0,True,True,False,False,True,K,-3.0,PP,5.0,20.0
qq,,True,False,False,False,True,Q,-4.0,PP,5.0,21.0
ɢɢ,,True,True,False,False,True,Q,-4.0,PP,5.0,22.0
ʡʡ,,True,False,False,False,True,H,-5.0,PP,5.0,23.0
ʔʔ,,True,False,False,False,True,H,-6.0,PP,5.0,24.0
p,1.0,True,False,False,False,False,B,3.0,P,4.0,25.0
b,2.0,True,True,False,False,False,B,3.0,P,4.0,26.0
p̪,3.0,True,False,False,False,False,B,2.5,P,4.0,27.0
b̪,4.0,True,True,False,False,False,B,2.5,P,4.0,28.0
t̪,5.0,True,False,False,False,False,D,1.666666667,P,4.0,29.0
d̪,6.0,True,True,False,False,False,D,1.666666667,P,4.0,30.0
t,7.0,True,False,False,False,False,D,0.75,P,4.0,31.0
d,8.0,True,True,False,False,False,D,0.75,P,4.0,32.0
ȶ,9.0,True,False,False,False,False,Ɉ,0.0,P,4.0,33.0
ȡ,10.0,True,True,False,False,False,Ɉ,0.0,P,4.0,34.0
t̠,11.0,True,False,False,False,False,Ɉ,-0.5,P,4.0,35.0
d̠,12.0,True,True,False,False,False,Ɉ,-0.5,P,4.0,36.0
ʈ,13.0,True,False,False,False,False,Ɉ,-1.25,P,4.0,37.0
ɖ,14.0,True,True,False,False,False,Ɉ,-1.25,P,4.0,38.0
kʷ,15.0,True,False,False,False,False,BK,-1.5,P,4.0,41.0
ɡʷ,16.0,True,True,False,False,False,BK,-1.5,P,4.0,42.0
c,17.0,True,False,False,False,False,Ɉ,-2.0,P,4.0,39.0
ɟ,18.0,True,True,False,False,False,Ɉ,-2.0,P,4.0,40.0
k,19.0,True,False,False,False,False,K,-3.0,P,4.0,43.0
ɡ,20.0,True,True,False,False,False,K,-3.0,P,4.0,44.0
q,,True,False,False,False,False,Q,-4.0,P,4.0,45.0
